user_id,username,password,email,role,is_active,last_login,created_at
1,tea_dani.johnso,10cfd6c5f298f9292649bc078d327bd617c8a88fe48df42533f82e4c36b57098,tea_dani.johnso@rice-lopez.org,teacher,True,2025-03-31 13:15:59.066419,2023-09-11 19:02:54.843818
2,tea_josh.doyle,a7d1117daf4b5ed174c1c6e96c2a42cff8d14e67483339cc1a7003033abf32c2,tea_josh.doyle@murray.org,teacher,True,2024-11-13 10:12:17.615438,2025-02-01 06:19:26.960526
3,tea_eric.miller,19d3c9051845079b8cc4df051cc86cd6ccf19c670ab8df292a67c46f8a143d82,tea_eric.miller@schaefer-cochran.com,teacher,True,2025-02-18 11:07:41.643404,2022-12-16 12:41:18.115425
4,tea_robe.robins,4146b33ffe1b3828e90a4487265327f630f1f014517dfbaef13751e21e97356e,tea_robe.robins@hodges-moore.biz,teacher,True,,2025-04-14 17:35:10.646375
5,tea_will.johnso,4c60d165772f25c08f1946c45ff6cdc4a42c25706e13ce5386136d64260de81e,tea_will.johnso@miller.com,teacher,True,2024-12-23 06:19:30.267071,2022-12-20 16:51:51.342285
6,tea_jame.santos,bf9f52f5f09ab5ddcc967dbba9e56a8944b8a20643ac3313bd5bb7a044e213cf,tea_jame.santos@peterson.com,teacher,True,2024-12-01 07:44:20.299977,2024-03-02 19:25:32.471531
7,tea_amy.robins,3d4f822a475353572747824bd7826c57c0aa7b73181bebcca135f928ee3e5256,tea_amy.robins@flowers-miller.com,teacher,True,2024-11-30 16:58:22.632190,2025-01-01 03:35:00.772956
8,tea_brid.smith,1d416cb09a021cc86c00a39edbc3107cf46e0fe0fd1e0df640cf177456ac92e2,tea_brid.smith@rojas.org,teacher,True,2024-12-20 08:53:52.270854,2022-11-03 14:11:03.135713
9,tea_lind.wolfe,8b4d852d2eed2bcc9edcee90c0aeb1663964f45c75a6fd82a5a2b730f9f8d623,tea_lind.wolfe@griffin.com,teacher,True,2024-09-16 10:57:09.944144,2022-10-13 15:27:32.792693
10,tea_matt.bernar,edcac2a439fa5fe807f5b0674be8031628e9b3692d5eea6c9b45b317d24fba81,tea_matt.bernar@middleton-richards.com,teacher,True,2025-02-28 19:15:57.363487,2023-06-18 03:00:41.943965
11,tea_matt.davis,8e45eba10fb387420f91372ad681c20b69c639273bb30651fb8cfff5e6da1b8f,tea_matt.davis@calderon.com,teacher,True,2025-02-03 18:12:40.066960,2023-09-25 20:20:37.138199
12,tea_mela.munoz,6fcae6330875357257718db9fdf4aa6e252eb0e665ffd08b1f96e2dd6c294177,tea_mela.munoz@smith.com,teacher,True,2025-01-05 02:20:49.612789,2022-05-26 13:49:52.482396
13,tea_lind.herrer,6827733c777d60b0bb9f59aa8cc27e9707e8217763cd3c390f0738c60803f298,tea_lind.herrer@martinez.com,teacher,True,2024-05-07 23:31:50.889167,2025-03-19 23:09:47.791589
14,tea_tere.arnold,34ac351d908c8475d9b94a244338741cc87875c85986d8239f126bd51b6320be,tea_tere.arnold@martinez.com,teacher,True,2024-12-26 05:31:45.217893,2023-04-15 00:06:09.376020
15,tea_mari.montgo,e5e23f378e5c7fda09ac8dc9f98964d82f64b4ecdf92118189aabaea4cbef04c,tea_mari.montgo@sanchez.com,teacher,False,2024-11-29 19:19:18.396146,2024-05-29 19:52:55.083312
16,tea_mich.ray,f4ae9b8de8ea5cc8ab47773661fd7e6da8e0eeea6dac74457b9d3c479517ef98,tea_mich.ray@mckenzie-salinas.net,teacher,True,2025-01-21 02:40:32.941381,2022-06-20 11:51:56.732162
17,tea_jane.perez,4a06d9b69c6502b8adb00a23a5de059ce6ff069208114472c8d6d901c24418d0,tea_jane.perez@brown-taylor.com,teacher,True,2025-01-20 04:21:54.337058,2022-12-17 01:08:14.499962
18,tea_keit.miller,e1de6840bce944b8b5617acfc1179c3ea99e4a34a55775055e735071d52bbd14,tea_keit.miller@bullock.net,teacher,True,2024-11-01 09:32:05.321809,2023-06-24 02:13:19.618294
